source_ref_id,source_file,source_sheet,source_row,source_column_or_cell_range,source_field,raw_value,raw_status,orderable_rpo,ref_rpo,source_detail_raw
staging_variant_matrix_rows.csv:Standard Equipment 1:4:7a88ce1772,staging_variant_matrix_rows.csv,Standard Equipment 1,4,stingray_1lt_c67,variant_matrix_row,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",S1,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
staging_variant_matrix_rows.csv:Standard Equipment 1:4:875a38a77b,staging_variant_matrix_rows.csv,Standard Equipment 1,4,stingray_2lt_c07,variant_matrix_row,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",S1,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
staging_variant_matrix_rows.csv:Standard Equipment 1:4:b9b8ca12fe,staging_variant_matrix_rows.csv,Standard Equipment 1,4,stingray_3lt_c07,variant_matrix_row,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",S1,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
staging_variant_matrix_rows.csv:Standard Equipment 1:4:c4e32bcc02,staging_variant_matrix_rows.csv,Standard Equipment 1,4,stingray_3lt_c67,variant_matrix_row,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",S1,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
staging_variant_matrix_rows.csv:Standard Equipment 1:4:ddaf4d05e1,staging_variant_matrix_rows.csv,Standard Equipment 1,4,stingray_1lt_c07,variant_matrix_row,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",S1,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
staging_variant_matrix_rows.csv:Standard Equipment 1:40:1091c36995,staging_variant_matrix_rows.csv,Standard Equipment 1,40,stingray_2lt_c67,variant_matrix_row,"Visors, driver and passenger illuminated vanity mirrors, covered",S,,,"Visors, driver and passenger illuminated vanity mirrors, covered"
staging_variant_matrix_rows.csv:Standard Equipment 1:40:73074423a0,staging_variant_matrix_rows.csv,Standard Equipment 1,40,stingray_2lt_c07,variant_matrix_row,"Visors, driver and passenger illuminated vanity mirrors, covered",S,,,"Visors, driver and passenger illuminated vanity mirrors, covered"
staging_variant_matrix_rows.csv:Standard Equipment 1:40:7c5e8c3518,staging_variant_matrix_rows.csv,Standard Equipment 1,40,stingray_3lt_c07,variant_matrix_row,"Visors, driver and passenger illuminated vanity mirrors, covered",S,,,"Visors, driver and passenger illuminated vanity mirrors, covered"
staging_variant_matrix_rows.csv:Standard Equipment 1:40:ad3ee9041d,staging_variant_matrix_rows.csv,Standard Equipment 1,40,stingray_3lt_c67,variant_matrix_row,"Visors, driver and passenger illuminated vanity mirrors, covered",S,,,"Visors, driver and passenger illuminated vanity mirrors, covered"
staging_variant_matrix_rows.csv:Standard Equipment 1:40:e9b66adefb,staging_variant_matrix_rows.csv,Standard Equipment 1,40,stingray_1lt_c07,variant_matrix_row,"Visors, driver and passenger illuminated vanity mirrors, covered",S,,,"Visors, driver and passenger illuminated vanity mirrors, covered"
